parametro_variado,valor_parametro,num_particulas,w,c1,c2,media_gbest,desvio_gbest,media_avaliacoes,taxa_sucesso,melhor_gbest,pior_gbest,coeficiente_variacao,gbest_valores_individuais,avaliacoes_individuais
w,1.2,15,1.2,1.8,2.1,-882.9272814083855,102.14326785134362,490.5,0.3,-1045.8139213272898,-766.6735676802743,0.11568706732949925,"[np.float64(-766.6735676802743), np.float64(-961.8480719701148), np.float64(-1045.8139213272898), np.float64(-962.2717306356449), np.float64(-980.2240405430815), np.float64(-950.4577736792584), np.float64(-842.1615913623198), np.float64(-773.6481465109159), np.float64(-773.749014897227), np.float64(-772.4249554777288)]","[300, 405, 405, 270, 735, 330, 255, 540, 675, 990]"
c1,1.0,15,0.8,1.0,2.1,-833.7776406976698,205.17762157052576,703.5,0.3,-1046.6981958625893,-418.7112145267298,0.2460819426614053,"[np.float64(-1046.3721585897915), np.float64(-773.7289315518144), np.float64(-418.7112145267298), np.float64(-1046.6981958625893), np.float64(-818.2368803166821), np.float64(-1046.5409035213977), np.float64(-773.7671101822048), np.float64(-594.7350842042026), np.float64(-773.7670689172464), np.float64(-1045.2188593040387)]","[900, 390, 375, 1005, 630, 285, 615, 1500, 660, 675]"
c1,1.5,15,0.8,1.5,2.1,-980.8912850125596,117.89165316669629,748.5,0.3,-1046.6698779675048,-720.2864153811033,0.12018829708043208,"[np.float64(-1046.6021798658685), np.float64(-720.2864153811033), np.float64(-773.766515997416), np.float64(-1043.488495133005), np.float64(-1046.4489919321738), np.float64(-1046.626567818267), np.float64(-1046.6698779675048), np.float64(-1015.8983981603146), np.float64(-1034.6475826977276), np.float64(-1034.4778251722166)]","[465, 615, 435, 705, 1380, 1125, 1155, 540, 630, 435]"
c1,2.0,15,0.8,2.0,2.1,-983.9785912299822,119.18580597947879,645.0,0.3,-1046.6964008039713,-720.2662411315206,0.12112642189754906,"[np.float64(-1046.6964008039713), np.float64(-1046.292307734755), np.float64(-1046.6389150259797), np.float64(-1029.9911859985205), np.float64(-720.2662411315206), np.float64(-1044.839596545984), np.float64(-1043.3333624017669), np.float64(-1044.0572962596796), np.float64(-1043.9627112590194), np.float64(-773.7078951386246)]","[1500, 540, 360, 765, 435, 375, 300, 840, 780, 555]"
c1,2.5,15,0.8,2.5,2.1,-922.4867934694632,124.43580597176363,754.5,0.3,-1045.8788204241237,-772.9956971792069,0.13489169368350723,"[np.float64(-773.7631866477676), np.float64(-773.7649807009586), np.float64(-1000.8867941992625), np.float64(-772.9956971792069), np.float64(-1040.37415421562), np.float64(-1045.8788204241237), np.float64(-1045.6879631049442), np.float64(-954.0718477135774), np.float64(-1043.6918153598067), np.float64(-773.7526751493635)]","[1380, 675, 420, 390, 630, 795, 1110, 390, 1275, 480]"
c1,3.0,15,0.8,3.0,2.1,-828.0190957233126,150.29013705437666,645.0,0.3,-1045.4693918556375,-574.1376005049985,0.1815056413923538,"[np.float64(-773.6731800382777), np.float64(-718.2021657246374), np.float64(-773.7427752920544), np.float64(-574.1376005049985), np.float64(-773.7670491395338), np.float64(-1044.812769924384), np.float64(-773.7586780094567), np.float64(-1028.868539101186), np.float64(-773.7588076429608), np.float64(-1045.4693918556375)]","[495, 600, 450, 255, 885, 570, 360, 735, 990, 1110]"
c2,1.0,15,0.8,1.8,1.0,-975.2080246061487,142.59978449195546,925.5,0.3,-1046.698820881336,-593.1252927455289,0.14622499086750887,"[np.float64(-1046.69736970449), np.float64(-830.4363149459397), np.float64(-1046.698820881336), np.float64(-1046.4706070400507), np.float64(-1002.4542879118248), np.float64(-1046.6416287621537), np.float64(-1046.1757087844294), np.float64(-1046.6985546768901), np.float64(-1046.6816606088435), np.float64(-593.1252927455289)]","[1500, 435, 1500, 660, 1500, 675, 825, 1065, 780, 315]"
c2,1.5,15,0.8,1.8,1.5,-907.612228422902,209.82505767561986,889.5,0.3,-1046.6980531329273,-532.4798420118856,0.23118359482685577,"[np.float64(-535.1116168050075), np.float64(-1046.6828085176585), np.float64(-1046.3047375951687), np.float64(-532.4798420118856), np.float64(-1039.7767240519304), np.float64(-1015.3892465730222), np.float64(-1046.6973511160886), np.float64(-1046.6959574655325), np.float64(-1046.6980531329273), np.float64(-720.2859469597993)]","[645, 1155, 915, 525, 375, 480, 1500, 930, 1170, 1200]"
c2,2.0,15,0.8,1.8,2.0,-1043.7492553145653,4.020614623244051,723.0,0.3,-1046.6815877062459,-1035.5760294002703,0.0038520886149349324,"[np.float64(-1045.1815027704042), np.float64(-1035.5760294002703), np.float64(-1046.256188143856), np.float64(-1046.6658939950942), np.float64(-1045.9616194701298), np.float64(-1046.1454918723439), np.float64(-1036.9651186465699), np.float64(-1046.6815877062459), np.float64(-1046.5387677167005), np.float64(-1041.5203534240418)]","[1065, 375, 750, 1095, 315, 930, 270, 1020, 525, 885]"
c2,2.5,15,0.8,1.8,2.5,-991.9712059941809,103.5144318258056,732.0,0.3,-1046.6338898008175,-768.445667057981,0.10435225458188636,"[np.float64(-768.445667057981), np.float64(-1040.0603611349043), np.float64(-1041.2361228639977), np.float64(-1046.6338898008175), np.float64(-1045.3589663758403), np.float64(-1044.0755428577363), np.float64(-802.6907687883262), np.float64(-1039.3249882371574), np.float64(-1046.5083994379306), np.float64(-1045.3773533871172)]","[300, 345, 690, 1275, 495, 480, 945, 510, 1500, 780]"
c2,3.0,15,0.8,1.8,3.0,-921.0947727626383,131.01129234381895,661.5,0.3,-1045.9374199479773,-718.2585405640813,0.14223432399999075,"[np.float64(-718.2585405640813), np.float64(-1028.2377451815632), np.float64(-1042.4680927733025), np.float64(-757.9068847545096), np.float64(-1016.1785577133973), np.float64(-999.6282080017612), np.float64(-802.3675987682512), np.float64(-773.7406286840308), np.float64(-1045.9374199479773), np.float64(-1026.2240512375076)]","[495, 450, 1155, 960, 525, 975, 330, 555, 780, 390]"
